print;athlas;story;page;image;label;rules;scen;todos;actions;addons;{comm}{ecomm}{say}{said}Иди {page:}{3mm}{comm}{ecomm}{say}{said}Иди {page:};—;«»
1;common;gloaki;drink_further;;;;Я смотрю, как плещется вино в моей кружке, и вижу в нём своё отражение. Истина — в вине! Конечно же, болен и я, но каждый раз я пью в этом баре, и болезнь ненадолго отступает. Но не проходит окончательно. И все, кто здесь — мужчины, женщины, сам хозяин и председатель здешнего своеобразного общества, все они пьют дыхание Салемской Чумы, и с каждым днём приближаются к часу собственной смерти, хотя и не замечая того, ведь вино — лечит душу. ;;Вспомни <b>одно из своих Забытых Воспоминаний</b>: достань из книжки одну бумажку с Забытым Воспоминанием, разверни и прочитай его вслух.{3mm}Сеанс закончен, ты ПРОСЫПАЕШЬСЯ;;;;
1;common;gloaki;funeral;; -R;Сбрось 1 Красный Камень;В Салеме похороны обычно происходят вечером. Я думаю, это связано с тем, что человек не должен чувствовать никакого удобства, когда хоронят его родственника, друга или того, кого он знал. Под вечер появляется туман, тянущий свои щупальца по земле, воздух наполняется сыростью, небо сереет. Считается, что хоронить в дождь — славная примета. Природа плачет…<br>Я стою в окружении родственников около свежеразрытой могилы. Это могила для моего брата. Липкая морось оседает на лице, и остаётся только кутаться в плащ, потому что зонт вроде как не к месту. Гробовщик с помощником опускают гроб в могилу и начинают закапывать яму. Никто не торопится. Раньше землю засыпали побыстрее, за минуту-другую, но теперь, когда гробовщик постоянно пьян, у него трясутся руки, а его помощник давно уже даже не изображет старание. Время тянется медленно. Наконец, последняя лопата земли аккуратно ложится на могильный холм, и его утрамбовывают по контуру. Земля мягкая из-за влажности и хорошо слипается. Красивая вышла могила, вот бы мне такую же.;Что мне сейчас сделать? Поговорить с гробовщиком? Или утешать матушку и сестру? Или, повинуясь порыву, уйти прогуляться, скрывшись в тумане? ;{comm}Поговорить с гробовщиком{ecomm}{say}Надо заранее договориться, чтобы мне такую же красивую могилу сделал! Хотя… после смерти мне уже будет все равно{said}Говорить — так говорить, иди {page:talk_undertaker}{3mm}{comm}Утешать родных{ecomm}{say}Матушке и сестре сейчас, как никогда, требуется поддержка. От кого ж им ее еще ждать — не от этих же двух пьяных типов с лопатами!{said}Ступай {page:console}{3mm}{comm}Пройтись по кладбищу{ecomm}{say}Слезами горю не поможешь, а бестолковыми и неуместными словами — только навредишь. Им придется смириться со смертью брата, это можно только принять, пропустить сквозь душу и отпустить. А я пока хочу остаться в одиночестве.{said}Иди гулять {page:graveyard_fog};;;;
1;common;gloaki;talk_undertaker;;;;Я подхожу к гробовщику и заговариваю с ним.{3mm}Неопрятного вида мужик с длинными засаленными волосами и в высокой шляпе пространно рассказывает мне о таинствах своей благородной профессии копателя могил и о том, что нужно делать, чтобы добиться в ней совершенства, попутно объясняя механизм работы и общее устройство городского морга. Из всего, что он говорит мне, я понимаю две вещи — работа «не бей лежачего», а гробовщик совершенно пьян. Тем временем, мужичок, кажется, испытывает ко мне определённый сорт доверия, свойственный пьяным людям, которых только что кто-то выслушал. Он делает мне знак, я склоняюсь к нему. Вместе с перегаром гробовщик выдыхает мне в ухо: “Тут не всё так просто, я уверен, что это доктор подстраивает смерти, ведь — ик! — если никто не будет помирать, то ему лечить будет некого, смекаешь?..”;Стоит ли мне послушать, что ещё скажет гробовщик, или пойти проветриться после столь близкого разговора, куда-нибудь поближе к реке?;{comm}Дослушать{ecomm}{say}Пожалуй, дослушаю, что ещё скажет сей мудрец от народа {said}Отправляйся слушать дальше {page:listen_undertaker}{3mm}{comm}Уйти от гробовщика{ecomm}{say}Необходимо срочно покинуть это затхлое место и оставить этого душного человека{said}Уходи {page:graveyard_fog};;;;
1;common;gloaki;console;;;;Я подхожу поближе к семье, обнимаю сестру, чтобы она перестала дрожать от промозглого холода. Шепчу какие-то успокаивающие слова навроде: “Милая Лиззи, ну, что ты, не плачь, Джеффри наверняка уже на небесах, он тебе улыбается…”. Кажется, мой голос звучит не слишком уверенно, или моя сестра чувствует фальшь в моем голосе, потому что я и сам не верю в то, что говорю. Она плачет.<br>Главное, чтобы сейчас никто не пытался закурить...  хотя слишком сыро для сигар и трубок, скорее уж люди разойдутся по домам.<br>Мать смотрит на меня с укоризной, будто вина за смерть брата лежит на мне, будто я не уберёг его, а не Док и его санитары! Кажется, что бы я ни делал, это будет некстати!;Стоит ли мне поговорить с гробовщиком и заодно накатить с ним немного из фляжки? Или лучше прогуляться по кладбищу среди могил? Может быть, стоит уйти в туман, в сторону реки? Или лучше посмотреть, что творится на кладбище, кого ещё хоронят, посмотреть, как в землю ложатся друзья и соседи?..;{comm}Поговорить с гробовщиком{ecomm}{say}Мне необходима какая-никакая разрядка, а ее никак не получишь в обществе двух рыдающих женщин.{said}Подойди к нему {page:talk_undertaker}{3mm}{comm}Прогуляться по кладбищу{ecomm}{say}Брата, конечно, не вернуть, а вот душевное равновесие вернуть очень хочется, и неспешная прогулка очень для этого подойдет.{said}Прогулка ведет тебя {page:graveyard}{3mm}{comm}Пойти в туман{ecomm}{say}Есть в этом тумане что-то мистическое, готическое. И сейчас у меня как раз соответствующее настроение. Ну, вперед!{said}Иди вглубь тумана, {page:graveyard_fog}{3mm}{comm}Посмотреть на кладбище{ecomm}{say}Эх, что тут делать! Не развеселюсь — так хоть последние новости, может быть, узнаю.{said}Сбрось 2 Синих Камня и ступай {page:spectate~-2B};;;;
1;common;gloaki;graveyard_fog;;baran;В этой Локации, чтобы СОГЛАСИТЬСЯ с выбором Гипнотизера, сбрось 1 случайный Камень из мешка (Красный, Синий или Зеленый).  В ином случае — явно возрази и сам выбери команду.;Довольно быстро я выхожу на дорогу, вдоль которой и направляюсь к реке. По бокам от дороги чернеет лес. Придорожная пыль, которая обычно обволакивает ботинки, сейчас прибита к дороге мелкой моросью, повисшей в воздухе. Сгущается туман, но вязкий запах земли отступает перед более свежим — это с реки дует ветерок, впрочем, не настолько сильный, чтобы развеять туман.<br>Промозгло. Я поёживаюсь от холода и получше укутываюсь в плащ.;Следует ли мне свернуть по направлению к городу, вернуться на кладбище или продолжить путь вдоль реки к окраинам города?;{comm}Пойти в город{ecomm}{say}Мне совсем неуютно в этом тумане, и я решаю вернуться в город{said}Твоя дорога лежит {page:street}{3mm}{comm}Вернуться на кладбище{ecomm}{say}Настроение портится всё больше, и есть только одно место, где оно будет уместно — кладбище!{said}Направляйся {page:graveyard}{3mm}{comm}Идти вдоль реки{ecomm}{say}Я решаю продолжить путь вдоль реки и уверенно шагаю вперёд. Под ногами хлюпает.{said}Река выведет тебя {page:nightjars};;;;
1;common;gloaki;spectate;;;;Мне нравится смотреть, как хоронят людей. Прелесть этого процесса открылась передо мной совсем недавно, наверное, когда-то тогда же, когда пришло решение больше не страдать от того, что все вокруг умирают. <br>Похороны красивы. Все торжественно одеваются, никто не отпускает нелепых шуток. Общество собирается чинно, без суеты. После того, как гроб кладут в землю, принято немного поговорить о погоде, болезни, выпить рюмочку коньяка.<br>Когда земля мягкая, всё, на мой вкус, происходит слишком быстро и просто. То ли дело, когда немного приморозит. Ледышки, смешанные с землёй, похрустывают под лопатами, могильный холм будто усыпан мельчайшими бриллиантами! Туман в этот момент отступает, воздух становится чище — слышно, как хоронят на другой стороне кладбища!<br>Если бы все научились размышлять, как я! Возможно ли найти единомышненников в сумраке последних дней?..;Стоит ли мне теперь вернуться в город и немного пройтись? Или же пойти гулять в сторону реки, вдоль кромки могил? Или же продолжить наблюдать за мрачным ритуалом, размышляя о Смерти и тлене? ;{comm}Вернуться в город{ecomm}{say}Похоже, ничего нового здесь я не увижу, да и не очень хочется. {said}Направляйся {page:street}{3mm}{comm}Пойти в сторону реки{ecomm}{say}Наползающий с реки туман прямо манит меня пройти сквозь него. Почему бы и нет?{said}Погрузись в туман {page:graveyard_fog}{3mm}{comm}Продолжать наблютать{ecomm}{say}Несмотря на всю свою мрачность, похороны — захватывающий и красивый ритуал, помогающий в раздумьях на вечные темы{said}Ступай же {page:death_and_decay};;;;
1;common;gloaki;graveyard;;baran;В этой Локации, чтобы СОГЛАСИТЬСЯ с выбором Гипнотизера, сбрось 1 случайный Камень из мешка (Красный, Синий или Зеленый).  В ином случае — явно возрази и сам выбери команду.;Я брожу среди могил. Многие из них совсем новые — памятники болезни. Салем изменил идеалам демократии, и теперь правит Королева “Чума”. Мы так зовём её иногда...  смешно!<br>Среди памятников встречаются скульптуры. Ангелы плачут над урнами праха, безутешные девы склоняются над могилами. Некоторые из них кажутся живыми. “Карр!” — ворон требует отдать ему глаза. Не сегодня, дружище, не сегодня…{3mm}Слышно, как поют козодои, и как где-то закапывают очередную могилу.;Стоит ли посмотреть на похороны? Или пойти в бар и пропустить кружечку? А может, лучше сходить к врачу? ;{comm}Посмотреть на похороны{ecomm}{say}Есть в ритуале похорон какая-то своя торжественная красота. Хочется ей полюбоваться.{said}Шагай {page:spectate}{3mm}{comm}Пойти в бар{ecomm}{say}Я уже насмотрелся на мертвых, теперь очень хочется пообщаться с живыми.{said}Направляйся {page:to_bar}{3mm}{comm}Сходить к врачу{ecomm}{say}Здоровье в наше время — большая ценность, стоит относиться к нему бережно!{said}Иди {page:to_doctor};;;;
1;common;gloaki;listen_undertaker;; -B;Сбрось 1 Синий Камень;Я понимающе киваю гробовщику, и мы делаем ещё по глотку из фляжки. Запах перегара, кажется, впитался в одежду старика. Он продолжает нашёптывать мне прямо в ухо, всё повышая и повышая голос:<br> — Ты меня послушай, я верно говорю! Наш Док, пусть и семи пядей во лбу, а хитрый человек, человек сомнительный, ушлый! Все эти смерти ему на руку. А ещё, посуди сам... вот ты пробовал за ним следить? Он же не устаёт на самом деле, он только притворяется усталым… Знаешь, что я тебе скажу? <br>Гробовщик наклоняется совсем вплотную, я чувствую его дыхание и принимаю вид заинтересованный и серьёзный.<br> — Послушай, я почти уверен… Наш док...  ВАМПИР. Я бы засадил в него кол и отрубил голову лопатой, но, знаешь, я, кажется, хиловат для такого...  и каждый раз, когда я собираюсь с духом...  в общем...  мне страшно. Но, верь мне, он пьёт нашу кровь в этой своей больнице! Никто же его не видел в светлое время суток, да!..{3mm}Кажется, с меня хватит.;Пойти ли мне прогуляться по городу, или направиться в бар?;{comm}Прогуляться по городу{ecomm}{say}После разговора с этим доморощенным мудрецом просто необходимо прогуляться и выветрить из себя запах алкоголя!{said}Иди {page:street}{3mm}{comm}Пойти в бар{ecomm}{say}Мне хочется догнаться чем-нибудь покрепче того дрянного пойла, что было во фляге у рабоника кладбища. {said}Ноги сами несут тебя {page:to_bar};;;;
1;common;gloaki;death_and_decay;; -G;Сбрось 1 Зеленый Камень;Что мы знаем о Смерти? Никому не удавалось заглянуть за грань и вернуться… Салем, окутанный тёплым саваном, скоро задохнётся, сгниёт, иссушится, так и не перестав мечтать о перерождении, о том, чтобы обмануть время и беспощадную поступь судьбы. Никто не обманывал смерть, но каждый, так или иначе, живёт в иллюзии бессмертия, рассчитывая на то, что его минет чаша с ядом неизбежности. Как жаль, что мы все стали стариками, избавившись от этих иллюзий. Как хорошо, что мы сделали это всем городом, вместе, когда мы ещё были так едины?.. Как страшно, что мы отвернулись друг от друга, но не взялись за руки, не шагнули за черту плечом к плечу, чтобы раствориться друг в друге, познать единственную неоспоримую истину жизни…{3mm}С одной стороны, мои размышления будоражат меня, с другой — к горлу подступает тошнота, и сладковатый запах земли и могил заставляет меня думать больше о свежем воздухе, чем о проблемах бытия.;Что мне делать? Прогуляться к реке, вернуться в город, или бросить эти раздумья?;{comm}Пойти к реке{ecomm}{say}Здесь как-то душно, у реки должно быть посвежее, и там я смогу вдохнуть полной грудью.{said}Шагай {page:graveyard_fog}{3mm}{comm}Вернуться в город{ecomm}{say}Хватит с меня на сегодня кладбища — назад, к живым людям!{said}Иди {page:street}{3mm}{comm}Перестать думать об этом{ecomm}{say}Хоть я себя и чувствую паршиво, но мыслями о смерти себе не поможешь!{said}Решив так, ступай {page:shooting};;;;
1;common;gloaki;to_doctor;;;;Больница — это не очень большой дом, деревянный, на высоком каменном фундаменте. Сейчас все комнаты дома заполнены, во всех окнах горит свет. Вокруг больницы есть ещё несколько построек, в том числе зловеще выглядящий в своей обыденности морг с ледником. Все знают, где это невзрачное здание, но хотели бы забыть.{3mm}Я стою на пороге. ;С чем я войду внутрь, что для меня больница?;{comm}Больница дарит надежду{ecomm}{say}Больница — оплот надежды на то, что Болезнь будет побеждена!{said}Надеясь и веря, ступай {page:in_hospital}{3mm}{comm}Больница несет отчаяние{ecomm}{say}Больница — не дом, а повозка в форме гроба, едущая к воротам смерти!{said}Войди же {page:no_exit};В этой ситуации Гипнотизер тебе не советчик. То, как ты относишься к больнице — это твой и только твой выбор.;;;
1;common;gloaki;pharmacy;;;;Я стою в аптеке, моя очередь следующая. Очередь достаточно длинна и уходит на улицу. Я до сих пор ёжусь, потому что стоять пришлось долго. Всем сейчас нужны лекарства. Внутри аптеки помещается совсем мало людей, дверь постоянно открыта. Аптекарь, тощий мужчина, отпускает лекарства, изредка перекидываясь парой слов с посетителями. Иногда он уходит куда-то вглубь аптеки и появляется только через пару-тройку минут, с какой-нибудь микстурой в руках.  <br>Аптека сейчас — место надежд, место, где люди ещё не прекратили разговаривать друг с другом.;Надо подумать, чем мне сейчас заняться? Взять лекарство и уйти? Или обсудить выписанный Доктором рецепт? А может, поговорить с аптекарем про болезнь?;{comm}Взять лекарство и уйти{ecomm}{say}Не хочется задерживать очередь — вдруг эта задержка будет стоить кому-нибудь жизни!{said}Забирай свое лекарство и уходи {page:near_pharmacy}{3mm}{comm}Обсудить рецепт{ecomm}{say}Надо же понять, что мне Доктор прописал, как это работает и поможет ли! Я не собираюсь пить что попало!{said}Сбрось 1 Синий Камень и ступай {page:discuss_receipt~-B}{3mm}{comm}Обсудить болезнь{ecomm}{say}Возможно, мне стоит обсудить с аптекарем болезнь, описать симптомы получше, вдруг он подберёт что-то новое. Аптекарь, хоть и не Доктор, но тоже образованный человек. {said}Сбрось 1 Синий Камень и иди {page:discuss_sickness~-B};;;;
1;common;gloaki;near_pharmacy;; -G;Сбрось 1 Зеленый Камень;На улице промозгло, люди жмутся друг к другу. В очереди больше человек, чем успеют обслужить до закрытия. Скорее всего, кто-то останется без лекарств. За время Болезни и карантина города люди куда больше тратили, чем зарабатывали. Салем живёт только сельским хозяйством уже второй год. Скоро денег на лекарства совсем будет не хватать. Я это понимаю, и все в этой очереди это понимают. Не только Болезнь, но и бедность подступают к нам, и грядёт трудное время… Оно страшит меня.;Что же мне, так и торчать на улице? Лучше пойти домой. Или, может, в бар?;{comm}Домой{ecomm}{say}Здесь сыро, ветрено и мерзко. А дома меня ждет уютно потрескивающий камин, теплый плед и горячий чай. Скорее туда!{said}Скорее беги {page:at_home}{3mm}{comm}В бар{ecomm}{say}По такой погоде еще инфлюэнцу не хватало подхватить! А от нее лучшее средство — хорошая порция старого доброго виски! Пойду-ка я в бар{said}Иди {page:to_bar};;;;
1;common;gloaki;discuss_receipt;;;;Я протягиваю аптекарю рецепт, и уточняю, всё ли верно. Аптекарь кивает. Тогда я спрашиваю, не появилось ли лекарства лучше, чем мне выписано. Аптекарь уверяет меня, что в случае указанного диагноза состав и свойства препарата самые подходящие. Вряд ли можно сейчас найти в аптеке и среди лекарств, которые изредка доставляют в город, что-то более уместное, чем прописал Доктор. Что и говорить, можно было бы не переспрашивать. Доктор заботится сейчас обо всём городе, он настоящий учёный, честный человек, радеющий за пациентов. Так что волноваться не о чем, в рецепте всё верно, и добавить или посоветовать нечего.;Стоит ли мне взять лекарство и пойти домой, или направиться в больницу на обследование? ;{comm}Пойти домой{ecomm}{say}Нечего больше отвлекать занятого человека — пойду домой лечиться. {said}Иди {page:near_pharmacy}{3mm}{comm}В больницу{ecomm}{say}Заботишься о своем здоровье — иди в больницу! Так всегда говорила бабушка. Светлая ей память... {said}Иди {page:to_doctor};;;;
1;common;gloaki;discuss_sickness;;;;Я решаю описать аптекарю свои симптомы. Говорю, что меня беспокоят приступы удушья, кашель, что повышается температура и что иногда я забываюсь в жутких приступах, а прихожу в себя, только если мне дают лекарство или глотнуть спиртного. Аптекарь, выслушав меня, интересуется, был ли я у врача. Я отвечаю, что был, и что у меня есть рецепт от него, но лекарство дороговато, и нет ли чего-то подешевле, ведь не похоже, что Болезнь возьмёт и разом закончится, а деньги нужно экономить… Аптекарь укоряет меня за то, что я  задерживаю очередь, но предлагает на выбор ещё пару лекарств, по меньшей цене, но и не таких эффективных.;Стоит ли мне купить прописанное лекарство, или то, что подешевле?;{comm}По рецепту{ecomm}{say}Доктор плохого не посоветует, раз он сказал это — его и надо взять. Экономить на здоровье нельзя.{said}Иди {page:discuss_receipt}{3mm}{comm}Взять что подешевле{ecomm}{say}Лекарство я беру не первый и, увы, не последний раз, а денежки-то не казенные!{said}Ступай {page:poverty};;;;
