print;athlas;story;page;image;music;rules;code;transfer_codes;label;scen;todos;actions;addons;—;«»;{comm}{ecomm}{say}{said}{page:}{3mm}{comm}{ecomm}{say}{said}{page:}{3mm};На этой странице, если ты <b>НЕ согласен</b> с выбором Гипнотизера — ты <b>можешь</b> явно сказать «нет!» и <b>выбрать другой вариант</b>.;На этой странице, если ты <b>НЕ согласен</b> с выбором Гипнотизера — ты <b>можешь</b> явно возразить «Но нет же!» и <b>выбрать другой вариант</b> действий самостоятельно.
1;unknown;deadworld;camp;;;;;;;Для отдыха я нахожу себе место поплоще, как-никак — удобнее, чем со склона всё время съезжать. Сажусь, осматриваюсь — холмы, холмы, серость… Сколько тут оттенков серого-то?! Сейчас не видно ничего, подножье почти чёрным стало… Разнообразие! Но холодно — жуть. Продрогнуть можно до мозга костей! По краям дороги какие-то сухие корешки из-под земли выбиваются. Правда, вряд ли они когда-то цвели пышной зеленью — не похоже это местечко на заливные луга… Пожечь бы их, да огонь, зараза, ни в какую не занимается! Но ничего… где-то у меня была фляжка виски припрятана… А, вот она!;Выпить для согреву, или мозгами пораскинуть, пока голова трезвая?;{comm}Выпить и согреться{ecomm}{say}Еще не хватало на этом ветру простыть! А старый добрый виски выбивает из организма всю заразу почище, чем все эти новомодные лекарства.{said}Рассудив так, иди {page:drink}{3mm}{comm}Подумать на трезвую голову{ecomm}{say}Что я, пьяница, чтобы при первых трудностях утешение в алкоголе искать? Виски от меня никуда не денется, а вот думать лучше, пока голова ясная{said}Решив так, иди {page:think}{3mm};;;;;;
1;unknown;deadworld;drink;;;;$sack->add('RRR');; +3R;Виски — вот где жизнь! И я понимаю, что тот, кто это когда-то сказал, не соврал ни разу. Возможно, он был праведником и вознёсся к небесам ещё при жизни, но тем не менее, пара глотков огненной воды меня оживили. Я чувствую себя почти что библейским Лазарем, который встал и пошёл. Даже серая пустыня на глазах перестаёт быть такой серой и унылой. Определённо, виски согревает мою душу, а не только тело. Появляются новые силы, даже второе дыхание открывается!.. И я встаю и иду дальше.;;Иди же дальше {page:enter_village}{3mm};;;;;;
1;unknown;deadworld;think;;;;$sack->add('B')->drop('R');; -R +B;Сижу я на своём пригорке, печально оглядываюсь по сторонам. Горизонта уже не видать — темно.  На небо смотреть тоже особого смысла нет — там вообще ничего не меняется, как картину к потолку пришпилили. Остаётся только под ноги себе пялиться, траву жухлую руками перебирать да пепел с последней сигары на нее стряхивать… Что я и делаю. Сижу, пялюсь, перебираю… Только понимаю я, что вся трава эта пожухлая тысячелетие уже такая тут стоит, а от прикосновения в прах превращается! В прах, пыль, тлен, который здесь повсюду… Нет, уж, спасибо. Не хочу я в такой же песочек превратиться, я лучше дальше пойду. Я делаю последнюю затяжку — и кидаю остатки сигары на землю — и надо же! Трава в этом месте сразу занимается и вспыхивает, как пух высохщий. Секунда — и погасла. Любопытно!..;;Иди же дальше {page:enter_village}{3mm};;;;;;
1;unknown;deadworld;lowlands;;;;$sack->drop('R');; -R;Разглядывая дорожки, я замечаю, что та, что ведёт вниз, смотрится будто бы шире. А это значит, по ней ходили чаще! Да и проще оно — вниз спускаться. Я решительно иду в низины, линия горизонта поднимается всё выше, но с какого-то момента мне становится труднее идти. Я смотрю под ноги и вижу там уже не пустынную пыль, а жижу. {quot}Ну, отлично, — думаю я ядовито, — болото! Вот его мне только ещё и не хватало!{quot} Крепко выругавшись, я оглядываюсь по сторонам. Начинает темнеть, да так быстро, что я совсем не замечаю, как солнце сменяется луной. Или это одно и то же светило? Висят же в одной точке! А на болота начал наползать туман… Не видно ни зги!;Вот и что мне теперь делать? Дальше пробираться или передохнуть прямо тут?;{comm}Иди дальше, не стой!{ecomm}{say}Оставаться здесь еще глупее чем там, на равнине - там, по крайней мере, ноги не вязли в трясине.{said}Выбирайся отсюда {page:escape_bog}{3mm}{comm}Устроить привал{ecomm}{say}Есть только одна вещь, которая глупее, чем вслепую пробираться по болоту - вслепую пробираться по болоту ночью. Тут, по крайней мере, почва еще достаточно твердая, чтобы удержать меня, а в темноте можно в такую топь залезть!{said}Рассудив так, отправляйся {page:stay_in_bog}{3mm};;;;;;
1;unknown;deadworld;escape_bog;;;;$sack->drop('R');; -R;Понимая, что движение — есть жизнь, да ещё в таком-то болоте, я стискиваю зубы и иду дальше. Каждый шаг даётся всё труднее. Порой на то, чтобы выдернуть ногу из грязищи, у меня уходит несколько минут. А грязь вязкая такая, чёрная, липкая… не засосала бы эта трясина меня! Но ничего, вроде бы, Бог миловал, иду, пробираюсь… Каждые несколько минут устраиваю маленькую передышку, опираясь на какую-нибудь твёрдую кочку. Одежда стала как будто ледяной — намокла, отяжелела, липнет к телу, сквозь ткань просачивается грязь… Кочка, кочка, ещё одна… Сколько миль позади? Хорошо, если футов триста… Твою ж мать! Я проваливаюсь по самый пояс! Еле-еле нахожу на ощупь какую-то корягу, выбираюсь на соседнюю кочку, а там уже и полегче стало… Трижды пусть будет проклято это болотище! Все силы высосало! Я кое-как выбираюсь на твёрдую землю… Главная трудность, кажется, позади, дальше идти стало гораздо проще…;;Болото почти позади, теперь можно немножко просохнуть и топать {page:enter_village}{3mm};;;;;;
1;unknown;deadworld;stay_in_bog;;;;;;;Я нахожу местечко посуше и сажусь отдыхать. Холод, правда, донимает, так и до костей промёрзнуть недолго! Сколько миль позади? А впереди сколько? Думать об этом не хочется, а чего хочется — так это пить! Во рту, прям как в этой пустыне… Где-то у меня фляжечка вискарика годного завалялась… ах, вот же она! Откупориваю я её, собираюсь глотнуть, но останавливаюсь. А разумно ли пить в такой ситуации? Болото, земли неприветливые… Вот же, вода под ногами почти плещется… В болоте, говорят, водица-то самое оно! А что грязная с виду — так через платок отфильтровать можно, да пить себе на здоровьице. ;Чего бы мне выпить, на самом деле? Виски или воды болотной?;{comm}Виски{ecomm}{say}В любой непонятной ситуации нет ничего лучше старого доброго виски!{said}Иди {page:drink_whisky}{3mm}{comm}Воду{ecomm}{say}Виски подождет, лучше оставлю голову трезвой. Выпью-ка я водички!{said}Ступай {page:drink_water}{3mm};;;;;;
1;unknown;deadworld;drink_whisky;drink.jpg;;;$sack->add('RRR');; +3R;Глоток виски воистину согревает... Да так, что веки слипаются, как будто на них пудовые гири повесили, на каждое. Сил моих нет, я валюсь с ног от усталости, но теплота, распространяющаяся по всему телу, только помогает уснуть… Я сплю… Сколько прошло времени — я не знаю, но когда я просыпаюсь — вокруг по-прежнему темень, хоть глаз коли! Зато хоть туман отступил. И холод уже не кажется таким собачьим… Кажется, дела идут на лад, и я вместе с ними. Поднявшись, я с новыми силами шагаю дальше…;;Иди же дальше {page:enter_village}{3mm};;;;;;
1;unknown;deadworld;drink_water;;;;$sack->add('YK');;take yellow and black;Я делаю глоток холодной воды. Она ледяная, аж зубы сводит! Но стоило мне её попробовать, всё дальнейшее — как в липком тумане! У меня начинается бред, меня лихорадит. Какой-то яд? Я ничего не понимаю и маюсь в бреду. Я то проваливаюсь в бездну, то плаваю в киселе, меня словно обволакивает серая пелена или даже облепляют водоросли и затягивают на дно… Грязь и мокрый тяжёлый песок мне заливают глаза, уши, нос и рот. О Боже! Я с неимоверным усилием вырываюсь из этого кошмара, меня скручивает жуткая боль в животе — кишки будто узлом морским завязывает, и наконец меня стошнило… Стало немного легче. Я прыскаю водой себе в лицо и, отдышавшись немного, иду дальше.;;Никакой больше болотной воды! Прочь отсюда, {page:enter_village}{3mm};;;;;;
1;unknown;deadworld;enter_village;;;;$sack->drop('RGB');;;Долго ли коротко ли, бреду я сквозь мглу. Но наконец-то что-то вокруг начало меняться! Вот вдалеке показались тусклые огоньки. Да не пляшущие, как на болотах бывают, а вроде бы вполне человеческие. Ну, по крайней мере, мне так кажется. Иду я к ним и вскоре выхожу в деревушку. Ого! Да тут всё заброшено лет сто, поди! Вокруг — старые дома, наполовину в землю вросшие, серые, сгнившие у основания и какие-то… не такие они, эти домишки. В Америке такого убожества отродясь не строили! А огни-то, огни где? Ага, вижу их, на окраине блестят… Ну, стало быть, мне туда!{3mm}Я прохожу одну заросшую жухлым умершим бурьяном улочку, другую, миную оградку — ворота с петель уже давно сорваны, прутья все проржавели, сквозь них давно пророс бурьян и тоже зачах. Я оглядываюсь по сторонам — где же это я? Ямы вокруг какие-то, холмы неровные, плиты… Плиты? Да я на кладбище!<br>— Эй, живой тут кто есть? — спрашиваю, и понимаю — вопрос-то не по адресу. Живой тут один лишь я...;;Пора идти {page:the_end}{3mm};;;;;;
1;unknown;deadworld;the_end;;;;;;;Я замираю в потрясении. Целый мир погиб, перестал существовать… Опустошенный неведомой болезнью? Или разрушенный войной?.. Оставленный всеми богами, покинутый жизнью… Раньше у него было имя. Теперь не осталось даже этого…{2mm}Потрясенный догадкой, я отступаю на шаг назад — и моя нога проваливается в какую-то яму. Отчаянно попытавшись схватить руками воздух, я лечу в черноту...;;{hypno_end};;;;;;
