print;back_class;ult_class;ult_text;<div class=tech>(назови цель – ОДНОГО персонажа)</div>
1;;wiseman;Именем Держателя Весов, Протектора и покровителя этой земли, я лишаю тебя, жалкий глупец, возможности изрекать ложь! Отныне и до конца времен ты можешь произносить лишь правду и ничего кроме.{3mm}И ЭТО МОЕ СЛОВО!!;
1;;hunter;Именем Духа Охоты, Протектора и защитника этой земли, я говорю тебе, ничтожный слабак: охота завершена. Тысячи незримых стрел пробивают твое тело насквозь и ты умираешь.{3mm}УМРИ!!;
1;;hunter;Именем Могучего Воина, Протектора и защитника этой земли, я наношу тебе, трусливый глупец, неотразимый удар и смертельную рану. Твоя кровь прольется на землю рекой!{3mm}УМРИ!!;
1;;hunter;Именем Бога Войны и Победы, Протектора и защитника этой земли, я обрушиваю на тебя, ничтожный трус, молот гнева и топор войны. Я превращаю твое тело в кровавые ошметки!{3mm}УМРИ!!;
1;;hunter;Именем Великого Стрелка, Протектора и защитника этой земли, я лишаю тебя, жалкий слабак, возможности укрыться от взора стрелков. Отныне любой и каждый выстрел в тебя будет наносить тебе ранение!{3mm}ТЕБЕ НЕГДЕ БОЛЕЕ УКРЫТЬСЯ!!;
1;;hunter;Именем Старшего Охотника, Протектора и защитника этой земли, я направляю по твоему следу, ничтожный слабак, его призрачных псов. Они идут за тобой по пятам! В тот миг, когда ты остановишься на месте — ты умрешь.{3mm}СПАСАЙСЯ ЖЕ ИЛИ УМРИ!!;
1;;hunter;Именем Повелителя Бездонного Лабиринта, Протектора и защитника этой земли, я даю тебе, жалкий слабак, выбор: немедленно склонись передо мной, признай меня господином и служи мне остаток жизни. Или умри, лишившись головы!{3mm}СКЛОНИСЬ И СЛУЖИ!! ИЛИ УМРИ!!;
1;;hunter;Именем Повелителя Колесниц, Протектора и защитника этой земли, я даю тебе, жалкий трус, право купить жизнь за  жизнь. Я даю тебе полтора часа и называю имя — убей того, кто был назван. Иначе твое сердце остановится.{3mm}УБЕЙ!! ИЛИ УМРИ!!;
1;;wiseman;Именем Лучезарного Мудреца, Протектора и покровителя этой земли, я переношу свое сознание и принадлежащую ему материю куда пожелаю со скоростью молнии.{3mm}ДА БУДЕТ ТАК!!;
1;;wiseman;Именем Повелителя Пространства и Времени, Протектора и покровителя этой земли, я говорю вам: плоть — ничто, разум — всё! С этого момента и следующие полтора часа мой разум и тело неуязвимы для любых воздействий.{3mm} ДА БУДЕТ ТАК!;
1;;wiseman;Именем Лорда Протектора, законного правителя этой земли, я обрушиваю на тебя, безумец, испепеляющий удар молнии!{3mm}УМРИ!!;
1;;wiseman;Именем Лорда Протектора, законного правителя этой земли, я навсегда закрываю тебе, ослепленный гордыней глупец, саму возможность погружаться в Коллективное Бессознательное, и водить туда других.{3mm}Я СКАЗАЛ!;
1;;wiseman;Именем Алого Короля, Великого Протектора и законного правителя этой земли, я говорю: верность ЕЙ дарует мне защиту!  С этого момента и следующие полтора часа мой разум и тело неуязвимы для любых воздействий.{3mm}ДА БУДЕТ ТАК!;
1;;wiseman;Именем Алого Короля, Великого Протектора и законного правителя этой земли, я обрушиваю на тебя пылающий праведным огнем меч ЕЁ гнева!{3mm}УМРИ!;
1;;rainbow;Именем Алого Короля, Подателя Радости и Великого Протектора я призываю всех, кто был мертв, вновь обрести дыхание и вернуться, чтоб воссесть по правую руку от меня на Пиру. Любой, кто был убит безвозвратно, может теперь явиться на Пир в духе и полной памяти.   ;
