print;athlas;story;page;image;label;code;transfer_codes;scen;todos;actions;addons;{comm}{ecomm}{say}{said}Иди {page:}{3mm}{comm}{ecomm}{say}{said}Иди {page:};—;«»
1;common;paine;hard_choice;;heap: +B, +G;$heap->add('BG');;Люди вдохновились моими словами, и я не имею права оставить их сейчас. Я — и никто другой — должен нести всю ответственность и поддержать их в начинаниях. Так, например, мой долг сейчас — оказать им поддержку, показать, что они правы, и что мои идеи крепчают от их поддержки! Мой новый труд, где всё это читается просто и ясно, называется {quot}Американский кризис{quot} и состоит из 13 памфлетов, которые были написаны в лагере Вашингтона. Кто бы мог подумать, что солдаты, прочитав книгу, будут кидаться в бой с моими словами на устах: {quot}Настало время испытать силу человеческой души!{quot}.<br/>Но что же делать дальше? Я получаю интересное предложение от видного политика пойти к нему в секретари. Я могу согласиться… Я теряюсь. Я знаменитость, и это немного даже неловко...;Должен ли я стать секретарём уважаемого человека? Или мне нужно и дальше продвигать свои идеи? Или следует заработать деньги на своём имени? Или, возможно, пришла пора спросить совета у знающего человека?;{comm}Соглашаться стать секретарём{ecomm}{say}Гордыня — грех. Почему бы не умерить её, помогая в карьере другому?{said}Иди {page:minion}{3mm}{comm}Продвигать идеи в мир{ecomm}{say}Мои идеи. Мои слова. Мой путь. Я всё сделаю сам. Я должен говорить, должен доносить свою мысль как можно чётче, ярче, точнее.{said}Иди {page:goto_court}{3mm}{comm}Зарабатывать деньги на своем имени{ecomm}{say}Слава — это шанс! Наконец-то я могу быть не только знаменитым, но и богатым!{said}Иди {page:money}{3mm}{comm}Спросить совета у знающего человека{ecomm}{say}Я никак не могу решить, как же мне поступить, и отчаянно нуждаюсь в совете.{said}Иди {page:gw_advice};;;;
1;common;paine;gw_advice;;;;;;;Оказавшись на этой странице, <b>расскажи Гипнотизёру</b> о ситуации, которая терзает тебя и требует сделать сложный, ответственный, неочевидный выбор. <b>Спроси его совета!</b>{3mm}Внимательно <b>выслушай совет Гипнотизёра</b>, прими его во внимание <b>и последуй этому совету</b>, насколько это будет возможно!{3mm}Когда Гипнотизер закончит с советом, иди {page:goto_court};;;;
1;common;paine;minion;;drop heap;;;Что ж, я тщательно всё обдумал перед тем, как сделать этот выбор, и мне в первом приближении всё казалось простым и понятным. Я действительно взлетел высоко и действительно приношу пользу. Я теперь правая рука высокопоставленного человека, которого знают сотни тысяч и которого слышат миллионы. Но… он говорит моими словами. Или это я вещаю через его уста? Я уже не понимаю. Так или иначе, я навечно обречён быть в тени. Быть может, это и хорошо, но… что-то не так.;;{hypno_end};;;;
1;common;paine;money;; +RGB, drop heap;$sack->add('RGB');;Я знаменит, меня воспевают в одах и стихах, с именем моим на устах (моим, а не короля или господа Бога!) солдаты бросаются в бой! Мои заветы — это 10 заповедей для нового поколения американцев!.. Надо бы что-то сделать и для себя. Мне нужны деньги в конце концов! И это оказалось несложно. Финансовая пирамида оказалась как нельзя прочна, плантация, которую я смог позволить себе — плодородна, рабы послушны, а кофе — о, этот вкус!.. Мне кажется, я заслужил все это! Не так ли?..;;{hypno_end};;;;
1;common;paine;goto_court;;heap: +B, +G;$heap->add('BG');;Изменения происходят по всему миру, вот и во Франции запылали огни революции. Французский народ, я с вами! — кричал я смелым гражданам в своём труде {quot}Права человека{quot}, где отстаивал мысль о том, что человек вступает в общественный союз не для умаления прирожденных ему прав, а для их обеспечения. Уступая часть своих прав в интересах общества, он оставляет за собой свободу мысли, свободу религиозной совести и право делать для своего счастья всё, что не вредит другим. Но, кажется, правительство Франции думает иначе — меня обвинили в оскорблении Короля и конституции! Какой наглый вздор!<br/>Но повестка в суд, тем не менее, у меня в руках, и я должен решить, что с ней делать. ;Должен ли я ехать в суд и доказывать свое мнение? Или нужно сжечь повестку и никуда не ездить?;{comm}Повестку сжечь, в суд не ездить{ecomm}{say}Сработало в Лондоне — сработает и в Париже! Нельзя осудить того, кто на суд не явился!{said}Иди {page:monarchy_is_evil}{3mm}{comm}Решительно ехать в суд и доказывать своё мнение{ecomm}{say}Дело моё правое, поэтому нет причин не явиться в суд.{said}Иди {page:execution};;;;
1;common;paine;execution;;heap: take only 1;$sack->msg('Забери себе 1 Камень из этого набора: '.$heap->getStonesText());;Что бы я ни говорил в свою защиту, твердолобое обвинение стоит на своём, и мне не избежать казни… О да, гильотина не вышла из моды. Но я гордо вхожу на эшафот, не задумываясь над тем, сколько монархов стояли здесь, на Гревской площади Парижа, с такими же гордыми лицами, заставляя палачей проклинать свой труд. Когда лезвие со свистом опустилось на мою шею, я почувствовал боль в сердце… но боль была от того, что перед моим лицом полыхали страницы моих трудов. Которые теперь никто не сможет прочесть…;;{hypno_end};;;;
1;common;paine;monarchy_is_evil;;;;;Кажется, правосудие совсем сошло с ума! Но меня признали виновным! А то, что я не присутствовал на заседании, не только не остановило их, но наоборот — подстегнуло! Теперь они ищут моих якобы подельников и последователей. Ох, монархия! В какой агонии ты предпочла помирать! Неужели, изжившему себя строю так не терпится забрать на тот свет побольше думающих людей? Монархия определённо причина многих кровопролитий. Но что с ней делать?;Должен ли народ убивать монархов? Или это совсем негодная мысль, и так поступать не стоит?;{comm}Да! Убивать монархов!{ecomm}{say}Монархия — корень зла, заключил я. И народ имеет право и обязанность покончить с монархиями раз и навсегда!{said}Иди {page:kill_monarch}{3mm}{comm}Нет, эта мысль не годная.{ecomm}{say}Подумав, я заключил, что геноцид августейших особ — плохой выход, и убивать их не надо.{said}Иди {page:main_choice};;;;
1;common;paine;kill_monarch;;;;;Я всегда держался жирондистов и следовал определённой линии политического поведения. Но времена меняются, и приходится подстраиваться под них и нужды народа. Поэтому теперь я среди монтаньяров, которые способны сдвинуть и скалу, пусть и придётся для этого истереть руки в кровь по локоть… Правда, мало кто понял мои доводы, и даже свои сочли предателем… Справедливо ли это? Ведь я хотел как лучше...;;Ступай же {page:sorrow};;;;
1;common;paine;main_choice;;heap: +B, +G;$heap->add('BG');;Каким бы ни был монарх, пусть это даже нелюбимый большинством Людовик, его убийство, как и других августейших особ, — громадная ошибка. Громадная политическая ошибка, первый камень, который может вызвать обвал.... Что ж, я не зря сотрясал воздух, и венец моих идей наконец-то издан. Это — {quot}Век разума{quot}, где каждый найдёт частичку себя, каждому придёт озарение, и, конечно, каждый поймёт, что и почему я хотел сказать. {1mm}Мне же самому предстоит очередной в моей жизни выбор гонимого властями человека — либо идти на эшафот за свои идеи с гордо поднятой головой, либо плыть в Америку снова, будь она неладна!;Что же мне делать?;{comm}Идти на эшафот{ecomm}{say}Надоело бегать от судьбы. Моё дело жизни завершено. Теперь и умереть не жалко!{said}Взойди же {page:eternity}{3mm}{comm}Плыть в Америку{ecomm}{say}Опять началось! Что ж, у меня найдётся универсальный рецепт в ситуации гонений. Чемодан, пароход, Америка!{said}Собирай вещи и плыви {page:sorrow};;;;
1;common;paine;eternity;;heap: take any 5;$sack->msg('Забери себе 5 любых Камней из этого набора: '.$heap->getStonesText());;О да, гильотина не вышла из моды. Но я гордо всхожу на эшафот, не задумываясь над тем, сколько монархов стояли здесь, на Гревской площади Парижа, с такими же гордыми лицами, что заставляли палачей проклинать свой труд. Я вижу в лице каждого парижанина веру в меня. Я погибаю как святой, и они всё равно пойдут вперёд.{1mm}Когда лезвие со свистом опускается на мою шею, я не чувствую боли. Наоборот, моё сердце переполняет удовлетворение. Мой разум чист. Я отыскал слова, равновеликие холодному молчанью. Мои идеи верны. Я вхожу в вечность…;;{hypno_end};;;;
1;common;paine;sorrow;;drop heap, +R, +B;;;Америка! О, страна, симолизирующая стремление к свободе! Как же долго я ждал, чтобы вновь ступить на землю славного Нью-Йорка… Но ждали ли меня здесь? Кажется, не очень. Мой добрый друг Томас Джефферсон, конечно, рад был меня видеть, но… для остальных я теперь никто и ничто. Раньше они умирали за мои идеи, а теперь не хотят даже плюнуть в мою сторону, не то, что смотреть мне в глаза. Неужели мои друзья предали меня…;Стоит ли мне сожалеть об этом? Или я — это я, и мне не о чем сожалеть?;{comm}Да, стоит сожалеть{ecomm}{say}Терять друзей всегда нелегко — и сердце мое полно сожалений. Наверное, зря я вернулся сюда. Меня никто не ждёт, и, видимо, мне придётся умереть в одиночестве, несмотря на то, что я сделал — и для этой страны, и для всего мира… и даже для каждого из них в отдельности. Хочется кричать. Но нет, лучше пить вино. Оно всегда утешает, напевая свои ласковые слова, которые особенно чётко слышно после полуночи и после второй бутылки...{said}{1mm}Иди {page:sorrow_exit}{3mm}{comm}Нет, сожалеть не стоит, я — это я{ecomm}{say}Великий мыслитель всегда одинок. То, что от меня отвернулись те, кто раньше шёл рядом - лишь подчеркивает то, что мой путь был верен.{said}Иди {page:wisdom};;;;
1;common;paine;wisdom;;heap: take 2, take +1 if -2R;"$sack->msg('Забери себе 2 любых Камня из этого набора: '.$heap->getStonesText()); if ($sack->has('RR')) $sack->msg('ЛИБО сбрось 2 Красных Камня и возьми 3 любых Камня из этого же набора')";;Что ж, я прожил жизнь, и много повидал, кому-то даже может показаться, что слишком много. Кому-то может показаться, что я не человек. Но нет. Я человек, который прожил жизнь, ведомый разумом и рассудком, избавленный от стереотипов мышления и искренне желающий мира на земле. Жизнь моя была полезна для человечества. Я, насколько мог, делал добро, и умираю спокойно, надеясь на милосердие Создателя… Я полностью прошёл свой путь.{1mm}И я понял главное: на этом пути всегда важно чувство момента. Человек не должен страшиться перемен и оправданного риска, но должен избегать очевидных глупостей и риска напрасного. Сколько опасностей ждало меня на моем пути — теперь они все остались позади...;;<b>Забери из «кучи»</b> на столе в свой мешок <b>любые 2 Камня</b> на твой выбор.{1mm}Теперь ты <b>можешь сбросить ДВА Красных</b> Камня из своего мешка, чтобы <b>забрать из «кучи» еще ОДИН Камень</b> в свой мешок.{1mm}Оставшиеся в «куче» Камни верни обратно в Сосуд с Камнями.{hypno_end};;;;
1;common;paine;sorrow_exit;; +R, +B;$sack->add('RB');;;;{hypno_end};;;;
