print;athlas;story;page;image;label;code;transfer_codes;scen;todos;actions;addons;{comm}{ecomm};{say}{said};—;«»;{comm}{say}{said}{page:}{ecomm}{comm}{say}{said}{page:}{ecomm}{3mm}
1;common;pastor;reflection;;;;;...Лица ведьм преследовали меня ещё долго. Чем больше я вспоминаю их, тем более мерзкими и противоестественными они мне кажутся. Отвратительные желтоватые лица, злые глаза и крючковатые носы — вот что объединяло этих женщин. Я делюсь своими мыслями с пастором, и тот понимающе кивавет. Он говорит, что они носят отпечаток дьявола не только в душе, но и на лице. И я отвечаю, что сделаю всё возможное, чтобы освободить Салем от этой мерзости, и что возьму на себя всю тяжкую ношу ответственности, разделю её с пастором.<br/>Сэмюэль Паррис удовлетворенно смотрит на меня и кивает головой, а затем крестит и говорит: {quot}Благослови тебя Господь, дитя!{quot};;Что ж, теперь иди {page:court};;;;;;
1;common;pastor;court;;;;;...Зал суда полон горожанами. Присяжные, выслушивают показания свидетелей и удаляются на совещание в отдельную комнату. Я среди них. Мы внимательно выслушиваем всех, кто хотел держать слово: и за, и против. Поднимается гвалт, но губернатор Фипс, присутствующий здесь, и вице-губернатор, назначенный им одним из судей, быстро усмиряют присяжных. Разгорается нешуточный спор, являются ли эти женщины настоящими ведьмами, продавшими душу дьяволу. Мы не можем игнорировать показания горожан, в том числе и женщин, добрых прихожанок церкви. Они кричали о ведьмовстве так яростно, так страстно, что ни у кого не осталось бы сомнений в их правоте…;Следует ли мне усомниться в показаниях горожанок, но ведьм признать настоящими? Или следует верить показаниям горожанок полностью? Или лучше остаться нейтральным?;{comm}Горожанки заблуждаются, но ведьмы — настоящие{ecomm}Тогда иди {page:court_doubt}{3mm}{comm}Горожанки правы, и ведьмы — настоящие{ecomm}Значит иди {page:court_accusation}{3mm}{comm}Остаться нейтральным{ecomm}{say}...Заседание кажется странным. Я слушаю внимательно каждый голос и молюсь про себя. Мало кто сейчас может усомниться в том, что осуждённых женщин ждёт виселица на главной площади. Я вижу, как искажаются лица присяжных, как краснеют лица губернатора и судей. Я не решаюсь ничего сказать…{said}Иди {page:execution};;;;;;
1;common;pastor;court_doubt;; +R;Ssack->add('R');;— Господа, я так много сегодня слышу, но ещё больше я вспоминаю из увиденного собственными глазами. То, что говорят женщины, призванные в свидетельницы, на мой взгляд — преувеличение. Они неправы, скорее они пребывают в справедливой ярости. Но я также и вижу тех, кому посвящено это заседание — ведьм. Что можно сказать о них? Ничего хорошего. Да очистятся их души перед Божьим ликом, а мы — да поможем им предстать перед Божьим судом. Ведьмовство должно караться…<br/>Сказав это, я сажусь.;;Иди {page:execution};;;;;;
1;common;pastor;court_accusation;; +2R, maybe +2R;"$sack->add('RR'); $hand = $sack->take('?',''); if ($hand->has('R')) $sack->add('RR'); $hand->pass($sack);";;...Присяжные один за одним встают со своих мест и каждый высказывает своё мнение, единое, полноценное, добавляя веские аргументы. Я не могу не отметить, как сплочены люди против единой угрозы, и как их усилиями — нет, НАШИМИ общими усилиями — эта угроза будет искоренена. Едва только наступает моя очередь, я с жаром восклицаю:<br/>— Помилуй нас Бог! Зло, истинное зло, дыхание преисподней — вот что принесли в наш город эти ведьмы! Кто же усомнится в этом? Я благодарю Бога, что живу в окружении сознательных граждан, которые всегда готовы поддержать друг друга, придти на помощь против посланцев дьявола! Что бы мы делали без показаний тех горожанок, которые ходят в церковь на каждую мессу? Что бы мы делали без каждого из вас? Неужели бы до сих пор страдали от злодеяний? Ведьм немедленно следует казнить!<br/>Присяжные поддержали меня одобрительным гулом...;;Иди {page:execution};;;;;;
1;common;pastor;escape_great_wiseman;; -R;$sack->drop('R');;...Пастор смотрит на меня слегка удивлённо, но с любопытством во взгляде. Он не привык, чтобы с ним не соглашались, но готов выслушать мою точку зрения. Я чувствую себя совсем крохотным под его взглядом, но, тем не менее, я говорю ему:<br/>— Святой отец, я не смею возражать вам, потому что истина за вами, но лишь позволю себе усомниться в том, что ведьмы — это правда. Неужели Господь не защитил бы вашу дочь и её кузину от злых чар? Неужели вы недостаточно молились за них? Не могут же ведьмы быть сильнее молитв! Что, если вовсе не они послужили причиной болезни ваших детей? Что если они — всего лишь попавшие под клевету женщины, которых никто не может защитить от общественной расправы над ними, но на самом деле ни в чем не виновные?...<br/>Он внимательно глядит на меня и лишь качает головой. В его глазах застыло возражение, гласящее о том, что Господь не потерпит несправедливости.;;Выдержи многозначительную паузу и иди {page:main_square_before};;;;;;
1;common;pastor;main_square_before;;;;;...Как людно на городской площади в преддверии такого грандиозного события как суд над ведьмами! Кого здесь только нет! Кажется, весь Салем собрался, чтобы собственными глазами увидеть исполнение приговора! Я вижу знакомые лица… Горожане собираются вместе, несмотря на холод, и обсуждают всех участников процесса, в том числе и ведьм, и самых юных их жертв — девочек Элизабет и Эбигейл.;Следует ли мне присоединиться к беседе о ведьмах? Или присоединиться и обсудить Элизабет и Эбигейл? Или просто ждать?;{comm}Обсудить ведьм{ecomm}{say}Возможно, горожане знают о ведьмах чего-то, чего не знаю я! И нужно пользоваться любой возможностью, чтобы узнать новости из первых рук, поговорив с добрыми жителями Салема...{said}Иди {page:discuss_witches}{3mm}{comm}Обсудить Элизабет и Эбигейл{ecomm}{say}— Ах, добрые господа, как же, как же, я знаю о пасторе Паррисе, и мне он поведал о своём горе. Как же жаль девочек, ведь они так молоды! Болезнь может быть очень тяжёлой!{said}Иди {page:discuss_girls}{3mm}{comm}Ждать{ecomm}{say}Я остаюсь в одиночестве на людной площади, кто бы мог подумать. Но зато, когда начнётся суд, я смогу занять первые ряды.{said}И пока ты ждешь казни, или {page:execution};;;;;;
1;common;pastor;discuss_witches;;;;;...Я подхожу как раз вовремя, чтобы услышать, как на площади обсуждают уже почти осуждённых ведьм. Я слышу каждое слово, и ненависть к этим женщинам, посмевшим посягнуть на единство пуританской общины, витает в воздухе:<br/>— Я видел ту негритянку, это точно ведьма! Вот провалиться мне на этом месте!<br/>— Хах, я тоже видел! Того и гляди заколдует, хоть прячь ее в кандалы, хоть нет!<br/>—Позвольте же, господа, как это она может вот прям так заколдовать?..<br/>— Как-как, нашепчет, проклянёт — и пиши пропало!<br/>— Они же все дьяволом меченые, просто спасу никакого нет!<br/>— Да, хорошо, что их время выйдет, некому больше будет наводить на наш город порчу!<br/>— Надо б горло промочить…<br/>— Верно говоришь!;Следует ли мне пойти с горожанами в бар и {quot}промочить горло{quot} перед оглашением приговора? Или лучше было бы остаться на площади?;{comm}Пойти в бар с горожанами{ecomm}{say}— А и то верно! — говорю я, — Пойдемте скорее.{said}Иди вместе с горожанами {page:bar_before_exec}{3mm}{comm}Остаться на площади{ecomm}{say}Толпа удаляется в сторону бара, и я остаюсь на площади...{said}Иди {page:alone_before_exec};;;;;;
1;common;pastor;discuss_girls;;;;;...На площади сегодня весь город и не только! Не только местные присутствуют, чтобы  посмотреть на возмездие ведьмам от пуританского общества, но и приезжие из Топсфилда и даже из Бостона! Неудивительно, что гул стоит, словно в растревоженном улье. Я слышу знакомые имена и не могу не подойти к женщинам и мужчинам, которые говорили о девочках, пострадавших от рук ведьм — Элизабет и Эбигейл.<br/>— Какой ужас, какой ужас, а как жаль нашего пастора!<br/>— Это ведьмы ему мстят!<br/>— Да за что же мстить-то святому человеку?!<br/>— Так за то и мстят, что святой, и вот посмотрите —  бедные девочки не могут даже с постели подняться!<br/>— Что ты, что ты! Хуже всё! Они будто бы в припадке, несчастные!<br/>— Ну ничего, скоро их мучения кончатся, вот увидите!<br/>— Ох, как страшно за них, у меня ведь у самого дочь! Что было бы, что было бы...<br/>— Да ничего хорошего… Но доктор говорит, что чары рассеются, как только виновницы будут казнены!<br/>— Слава Богу, слава Богу!...<br/>Толпа горожан плавно перемещается к краю площади и направляется к бару, будто бы решение выпить было принято ими не сговариваясь, и они прекрасно друг друга поняли без слов.;Следует ли мне пойти со всеми в бар? Или мне лучше остаться на площади?;{comm}Пойти в бар{ecomm}{say}Смешавшись с толпой, я направляюсь в сторону бара.{said}Иди вместе с толпой {page:bar_before_exec}{3mm}{comm}Остаться на площади{ecomm}{say}Толпа удаляется в сторону бара и я остаюсь на площади...{said}Иди {page:alone_before_exec};;;;;;
1;common;pastor;bar_before_exec;; +R;Ssack->add('R');;...В баре резко становится шумно и тесно. Отодвигаются стулья, наполняются кружки. Здесь присутствуют и мужчины, и женщины. На улице слишком ветрено, чтобы продолжать беседы там, поэтому люди наполнили помещение бара так же скоро, как табачный дым от трубок и сигар наполнял сейчас комнату. Я с удовольствием присоединяюсь к одной из компаний за столом и начинаю общаться вместе со всеми. У меня свербит под ложечкой от предвкушения. Остаётся совсем немного времени до того, как приговор огласят и приведут в исполнение, а значит, город Салем снова сможет вздохнуть спокойно и вернуться к своей прежней, смиренной перед лицом Божьим, жизни...;;И пора идти {page:execution};;;;;;
1;common;pastor;alone_before_exec;; -R, may: 2R -> B;$sack->drop('R')->swapSoft('RR', 'B');;...Площадь пустеет, несмотря на то, что здесь еще есть люди — и горожане, пришедшие смотреть будущую казнь, и рабочие, которые расставляли скамьи для судей, присяжных и важных лиц города. Становится почему-то одиноко. Но я недолго маюсь от одиночества. Если уж мне было суждено оказаться здесь, то я должен быть в первых рядах, во всех смыслах этого слова! Я — пока мои сограждане отогреваются в людном баре — спешу занять самое удачное место на скамье — теперь у меня есть шанс смотреть прямо в глаза ведьмам…;;Иди {page:execution};;;;;;
1;common;pastor;execution;;;;;...Вершится судьба! Салем торжествует! Ведьмы предстают перед лицом всего города, маски спадают с их отвратительных личин, и нет пути назад! Кому они молятся в свой последний час? О чём думают? Невозможно понять, проникнуть сквозь завесу тайны и заглянуть в глубину их душ. Троих женщин возводят на эшафот — прочные верёвки виселиц будто поджидают их, примериваясь к шеям, как ядовитые змеи. Над площадью повисает тишина, в которой… в которой звучат слова!<br/>Одна из ведьм — та, которую весь город знает как Сару Гуд, и которая проживает в нищете — она уже стоит с петлёй на шее и вдруг вскидывает голову, глядя судье прямо в глаза! Так яростен этот взгляд, так исполнен болью, что никто бы не посмел отвести глаз.<br/>—Ты — лжец. Я не бОльшая ведьма, чем ты — колдун. Отбери у меня жизнь — и Господь напоит тебя кровью! — Только после этих слов палач вздёргивает её, а следом и всех остальных. Я долго ещё смотрю на раскачивающиеся мёртвые тела женщин, болтающиеся на верёвках.;Следует ли мне уйти с площади вместе со всеми? Или мне следует остаться одному?;{comm}Уйти со всеми{ecomm}{say}Вместе с торжествующими горожанами я покидаю площадь.{said}Иди вместе со всеми  {page:bar_after_exec}{3mm}{comm}Остаться на площади{ecomm}{say}Толпа начинает расходиться с площади, и я остаюсь один.{said}Иди {page:alone};;;;;;
1;common;pastor;bar_after_exec;; +R;$sack->add('R');;...Бар наполняется людьми очень быстро. Я вижу радостные улыбки на лицах мужчин и женщин, и я улыбаюсь. Я могу свернуть горы, до того меня переполняют душевные силы! Мы всем миром радостно обсуждаем свершившуюся казнь, и каждый знает, что эта история ещё долго будет странствовать по всем барам Салема и Бостона, и даже всей Америки. Но я знаю кое-что ещё...<br/>Здесь никто не один. Мы все были вместе, и вместе мы были сильны….;;Теперь ты <b>можешь</b> ПРОСНУТЬСЯ, закончив сеанс, ЛИБО пойти {page:moral}{3mm}{hypno_end};;;;;;
1;common;pastor;alone;; -R;$sack->drop('R');;...Чувство одиночества всё ширится, разрастается во мне. Я дожидаюсь, пока большинство зевак не покинут площадь и пойдут в близлежащий трактир. Холодает. Видать, погода начинает портиться. Однако, мне холодно не только от ветра, что-то было не так и внутри меня. Я называю это печалью. Семя хандры начало прорастать в моей душе. Ветер ещё колыхает тела повешенных ведьм. Холод сковывает ноги, и мне трудно идти. Я грущу и как будто не имею внутри себя чего-то основополагающего, как если бы это что-то вырвали прямо из моего сердца. Я медленно ухожу с площади…;;{hypno_end};;;;;;
1;common;pastor;moral;;;;;...Я снова вижу пастора Сэмюэля Парриса. Мы идём с ним в одну сторону, и ветер дует нам в спины. Он идёт рядом и говорит со мной мягким, но уверенным голосом.<br/>—Дитя моё, — говорит он мне. — Город преодолел тяжёлое время, время, когда необходимо находить поддержку в своём ближнем и быть готовым вступиться за общее, правое дело. Эгоизму, личной выгоде и другим порочным желаниям не место здесь. Только отринув их и объединившись, можно выдержать борьбу с силами зла. Вспомни — прутья поодиночке ломки, но вместе они настолько крепки, что их не переломить! Так и человек — он не может быть один, и он не может быть одиноким. Помни эти слова, дитя… И благослови тебя Бог. Аминь.;;{hypno_end};;;;;;
