print;athlas;story;page;image;label;code;transfer_codes;scen;todos;actions;addons;{comm}{ecomm}{say}{said}Иди {page:}{3mm}{comm}{ecomm}{say}{said}Иди {page:};—;«»
1;common;ulysses;pastor;;;;;Пастор молча смотрит на меня, внимательно слушает мои рассуждения и кивает. Его ответ слегка удивляет меня.<br>— Герой  — тот, — говорит святой отец, — кто сумел переломить ход сражения. Потому что от его поступка, быть может, изменится ход войны. А значит — и судьба всего народа, за который он сражается. Для этого нужно быть смелым и решительным. Героем. <br>Вот так и отвечает мне! Только что же это получается — я и есть герой? И я переломил ход битвы, подхватив знамя?...;;Рассуждая над ответом святого отца, иди {page:trojan_horse};;;;
1;common;ulysses;prothesilaus;;;;washington#madman ~ $heap->drop('*G')->add('B');На Трою надвигалась огромная армада кораблей, небо чернело от их парусов! Их вел великий царь микенский Агамемнон и обманутый младший брат его, властитель Спарты, Менелай. С ними в путь отправились и другие великие герои: Диомед, царь аргосский, сын Тидея{semi} и Сфенел тиринфский, сын Капанея{semi} Нестор, царь пилосский, достопочтенный старец, и его сын Антилох. С острова Итаки приплыл храбрый и хитрый Одиссей, сын Лаэрта. Были и другие:  из Фессалии приплыли Адмет и Протесилай, а из далекого Крита – внук Миноса, Идоменей, с большим войском.<br>Флот греков преодолел великие трудности в начале пути, и наконец  впереди показались берега Трои. Протесилай, горячий нравом и рвущийся в бой, был готов сразу помчаться в битву, но он знал, что предсказание оракула пророчит смерть тому греку, который первым ступит на землю Трои, ибо боги будут благосклонны к троянцам. Знал об этом и Одиссей, но, отличаясь острым умом, он пошел на хитрость и кинул на песок свой щит, и только на него ступил сам. Увидев это, Протесилай без страха сошел на берег, но тут же был пронзен копьем Гектора, защитника Трои. Но греки пошли в атаку, а троянцы дрогнули... ;Героем ли был Протесилай или отчаявшимся безумцем?;{comm}Героем{ecomm}{say}Он знал, что ему грозит смерть, и презрев ее, встретил лицом к лицу.{said}Иди {page:washington}{3mm}{comm}Безумцем{ecomm}{say}Воистину безумным надо быть, чтобы погибнуть самому, а не послать первым на высадку простого бойца или глубокого старика!{said}{1mm}Теперь иди {page:washington#madman};;;;
1;common;ulysses;trojan_horse;;;$heap->add('B');;Мужеством могучих героев ахейских троянцы отброшены были за стену, но высоких троянских стен, с такой твердостью обороняемых, никакими усилиями не могли взять ахейцы. Наконец то, чего нельзя было достичь силой, было достигнуто хитростью: путь во вражеский город открыл Одиссей хитроумный. Обезобразил он ранами тело свое, облекся в лохмотья, как нищий, и, бродя из дома в дом, выведал все в городе. Узнав многое, что было нужно, благополучно воротился Одиссей в ахейский стан, побив на возвратном пути многих троянцев.<br>Потом Одиссей убедил ахейцев соорудить деревянного коня, только этим средством, говорил он, можно взять город. Калхас возвестил это, ибо таково было ему знамение: голубка, преследуемая ястребом, скрылась в расщелину скалы{semi} полный злобы, долго метался хищник над расщелиной, наконец скрылся в ближнем кустарнике{semi} и голубка вылетела из своего убежища. Но вот налетел на нее ястреб и задушил ее. Все это возвестил Калхас собравшимся ахейцам и посоветовал им перестать действовать открытой силой, а прибегнуть к хитрости.<br>Через три дня Эпей с помощью молодежи, находившейся в стане, окончил троянского коня. Тогда Одиссей с такими словами обратился к собранию героев: {quot}Покажите же теперь свое мужество, вожди данайцев. Войдемте в чрево коня, чтобы положить конец брани. Скрыться в этом убежище страшнее, чем выйти в открытой битве навстречу врагу. Кто не желает, может отплыть к Тенедосу{quot}.<br>Пала Троя, пала жертвой не оружия, но дьявольской хитрости данайцев, дары приносящих. ;;Иди {page:washington};;;;
1;common;ulysses;washington;;;;;На следующий день в нашу ставку приехал сам Джордж Вашингтон — провести смотр солдат. Уж не знаю как, но он узнал обо мне и вызвал для личного разговора. Он назвал меня настоящим героем, таким, на которых должна держаться Америка. Потому что истинный герой, по его словам — тот, кто сражается за свободу своей страны, рискуя своей жизнью.<br>Я с благодарностью принимаю похвалу великого полководца и понимаю, что это мой шанс — я могу попросить у него что-нибудь! Но что?;Просить перевести меня в артиллеристы? Или дать под моё командование людей? Или отправить в самую горячую точку?;{comm}Перевести в артиллеристы{ecomm}{say}Я уже доказал свою доблесть, теперь время показать ум. Солдаты, ведомые умным полководцем, становятся для врага втрое опаснее, но артиллерия с умным командиром становится опасней десятикратно!{said}{1mm}Иди {page:cannoneer}{3mm}{comm}Отправить, где погорячее{ecomm}{say}— Ну что вы, я всего лишь солдат, мне ничего не надо… Но отправьте меня в самое пекло! Уж я-то задам жару англичанам! — говорю я Вашингтону. Он кивает и хвалит меня за мою скромность, и на следующий день я выезжаю в другой лагерь, туда, где идут самые жаркие бои этой войны.{said}{1mm}Теперь отправляйся {page:patrokl}{3mm}{comm}Дать людей{ecomm}{say}— Я хочу принести больше пользы своему отечеству! Дайте мне людей, и вот увидите, это будет правильное решение! — с надеждой я смотрю на Вашингтона, и тот соглашается. Я получаю вне очереди два звания и уже командую целым батальоном!{said}{1mm}К победе, {page:more_people};;;;
1;common;ulysses;cannoneer;;heap: take all B;$heap->pass($sack, '*B');;— Отправьте меня в артиллеристы, — не моргнув глазом, восклицаю я. И Вашингтон исполняет мою просьбу.<br>Вот она — смерть английская, артиллерия — настоящий бог войны! Каждый англичанин отведает картечи из моих рук! Война прошла перед моими глазами, и я видел победу, видел новую, свободную Америку! Я закончил службу в чине полковника и сразу же после войны женился. Меня до сих пор приглашают на парады, а иногда я даже читаю лекции молодым военным… Но самое главное — я с удовольствием рассказываю о о войне своим сыновьям, и они не устают слушать меня из года в год, и они, и мои внуки. Я знаю, когда-то давно я принял мудрое решение.;;{hypno_end};;;;
1;common;ulysses;patrokl;;heap: +R;$heap->add('R');;...Как катится  с  вершины  горы  тяжелый  камень,  оторвавшийся  от  утеса, сокрушая  все  на  своем  пути, так несся  Гектор  с  копьем  и  щитом  на  ряды  греков. Остановился  он пред сомкнутыми рядами и воодушевлял троянцев прорвать строй греческих воинов. Завязался упорный бой. Много пало в бою греков...<br/>— Великое горе постигло греков! — воскликнул Патрокл, обращаясь к Ахиллу, — Самые храбрые из них ранены. Неужели ты не поможешь грекам? Если  не  хочешь помочь,  то отпусти меня! Дай мне твои доспехи. Может быть, примут меня троянцы за тебя  и  прекратят  битву.  Со  свежими  силами отразим мы троянцев от кораблей.  Так молил Патрокл Ахилла, не ведая, что сам он выпрашивает себе смерть...{3mm}— Что за чертовщина! — я просыпаюсь и выхожу из походной палатки подышать воздухом. Опять эти сны!..;;Отправляйся {page:more_people};;;;
1;common;ulysses;more_people;;;;;БАХ! Земля дрожит и упивается нашей кровью! Мы падаем, но продолжаем отбиваться от несметного английского полчища. Цвета их мундиров сливаются с цветом крови, которая не успевает высохнуть, вытекая из смертельных ран моих соотечественников. БАХ! Пушки гремят непрерывно, люди падают безо всякой надежды на то, чтобы встать… Это смертельная битва, и враг превосходит нас числом в три, а то и четыре раза… ;Что же делать — продолжать атаковать или отступить?;{comm}Отступить{ecomm}{say}Здесь мы уже ничего не выгадаем, и я, как полководец, должен принять решение. Битва проиграна, но не проиграна война, а чтобы и дальше было кому воевать, я должен сохранить жизни солдат.{said}{1mm}Иди {page:retreat}{3mm}{comm}Продолжать бой{ecomm}{say}Мы удерживаем стратегически важную точку! Нашими жизнями будет куплена свобода Америки! Не отступать и не сдаваться!{said}{1mm}С гордо поднятой головой отправляйся {page:continue_battle};;;;
1;common;ulysses;retreat;;heap: drop all;;;Я не повторяю чужих ошибок и знаю, что иногда нужно сделать шаг назад, чтобы собраться с силами для нового рывка вперед. Я решаю сберечь своим людям жизни, и мы отступаем. Англичане ликуют. Я уверен, что ненадолго, но боевой дух моих однополчан сломлен. Со всего фронта приходят неутешительные вести. Война заканчивается. Англичане берут город за городом. Америка продолжает стоять на коленях... Она не увидит независимости, обагренной нашей кровью. Прости, Америка!;;{hypno_end};;;;
1;common;ulysses;continue_battle;;heap: +G;$heap->add('G');;— Не отступать и не сдаваться! — кричу я своим солдатам, и мы как львы бросаемся в бой! Под грохот пушек и свист пуль над головой мы атакуем — за Америку и за свободу, за наше будущее! Солдаты бросаются в штыки и дерутся врукопашную. Эта тяжелая битва, и для многих она стала последней... Неужели и для меня? Нет! Руку обжигает невообразимая боль и разрывает в клочья, в глазах темнеет... Я прихожу в себя уже в госпитале, и доктор с серьезным лицом сообщает, что мы... Мы победили! Мы отбросили английских псов на несколько десятков миль! Но мой отряд, мои друзья — они все остались на том поле. Мне повезло, и я выжил... Один из всех…{2mm} ... {2mm}Я лежу на серых больничных простынях и стараюсь сохранить рассудок. По ночам меня терзают кошмары из-за боли, и почти не спадает жар. Но доктор успокаивает, говорит, что я выберусь и останусь жив. Да какой в этом, к черту, смысл? Мои парни верили мне, шли за мной — и вот они все мертвы, а я остался беспомощным калекой. Кому я теперь нужен на этой войне? И неужели это было неизбежно? Неужели я ничего не мог сделать, чтобы спасти жизнь своим солдатам? От этого хочется плакать. Теперь я понимаю, что война — это не только место для подвига и жертвы. Это еще и искалеченные судьбы и жизни. ;Так кто же на самом деле герой? Тот, кто делает всё, чтобы вернуться и жить? Или тот, кто готов умереть и идёт до конца?;{comm}Тот, кто возвращается живым{ecomm}{say}Нет позора в том, чтобы отступить, если за этим последует новая атака на противника! Кто сказал {quot}отступление{quot}? Это военный маневр!{said}{1mm}Иди {page:andromacha}{3mm}{comm}Тот, кто идет до конца{ecomm}{say}Тот, кто тверд, кто идет до конца, кто не отступается от своих идей и не показывает врагу спину, тот, кто и смерть встречает лицом к лицу — только тот может носить гордое имя героя.{said}{1mm}Иди {page:midway};;;;
1;common;ulysses;andromacha;;;;;Когда Гектор подошел к Скейским воротам (через них шла дорога из города в поле), Андромаха поспешила к нему навстречу, держа на руках младенца – сына Гектора, Астианакса. С безмолвной улыбкой взглянул Гектор на сына, Андромаха же в слезах подошла к мужу, взяла его за руку и стала говорить ему такие речи: {quot}Жестокосердный, не жалеешь ты ни младенца сына, ни несчастной жены, скоро буду я вдовой: скоро убьют тебя ахейцы, нападут на тебя все вместе. Лучше мне тогда низойти в царство Аида: если лишусь я тебя, не будет мне никакой отрады, горести только придется переносить мне. Нет у меня ни отца, ни матери: отца моего умертвил Ахилл в день, когда взял и разорил Фивы, от его же руки пали и братья – всех семерых братьев, до единого, умертвил Ахилл, вскоре затем смерть поразила и мать. Ты один у меня теперь, ты – все для меня: и отец, и мать, и брат мой, и супруг. Сжалься же надо мною, Гектор, останься здесь на башне, не сделай сына сирым, меня вдовою! Поставь войско там, на холме, под смоковницами: в этом месте врагам всего легче взобраться на стены{quot}.;Что же делать — идти ли сражаться или остаться с женой?;{comm}Сражаться{ecomm}{say}Нет у троянцев надежды иной, чем шлемоблещущий Гектор, сын гордый Приама. Он лишь один сможет твердой рукою в бой повести свое войско.{said}Иди {page:hector_fight}{3mm}{comm}Остаться с женой{ecomm}{say}Боле не в силах терпеть доблестный Гектор горестный плач Андромахи. {quot}Встань и утешься, — сказал он, — я остаюсь, Андромаха!{quot}{said}Иди {page:hector_stay};;;;
1;common;ulysses;hector_fight;;;;;...Под ударами Ахилла пало такое множество врагов, что трупы перегородили течение Скамандра, и вода реки побагровела от крови. Троянский царь Приам велел стражам отворить ворота, чтобы впустить бегущих, но держать двери ворот руками, чтоб не дать ворваться Ахиллу. Гектор не захотел скрыться за стенами, остался на поле, не слушая отца и матери, взошедших на башню и умолявших его отказаться от продолжения боя. Но когда приблизился Ахилл и направил на него тяжелое ясеневое копье, сердце его ужаснулось, и он помчался от Ахилла вдоль стен. Три раза обскакали он и преследующий его Ахилл кругом стен. Зевс взвесил жребии Гектора и Ахилла{semi} чаша весов со жребием Гектора опустилась. Ахилл настиг Гектора, пронзил копьем, привязал его за ноги к своей колеснице, и погнал коней к стану{semi} прекрасная голова убитого героя волоклась по земле. Рыдая, смотрели на это со стены родные Гектора.<br>Ахилл хотел оставить тело Гектора тлеть на земле без погребения. Он совершил торжественные похороны Патрокла{semi} двенадцать пленных троянцев были сожжены на костре Патрокла. С привязанным к колеснице телом Гектора Ахилл три раза объехал кругом надгробного холма Патрокла. Наконец боги вложили жалость в его сердце. Приам пришел с богатыми подарками в шатер Ахилла, обнял его колена, целовал руки, убившие Гектора, напоминал Ахиллу о старике отце его, и в Ахилле пробудилась жалость. Он зарыдал о бренности всего земного и отдал Приаму тело сына. Десять дней троянцы совершали обряды печали о смерти Гектора, сожгли его тело, собрали пепел в урну, опустили ее в могилу.<br>Ахилл яростно гнался за бегущими троянцами до Скейских ворот Трои и уже врывался в них, но в этот миг стрела, пущенная Парисом и направленная самим богом Аполлоном, убила его. Она поразила его в пятку, которая была единственным уязвимым местом его тела… Они оба пали, но мы помним и чтим их как греческих героев, уподобившихся небожителям не только по рождению!;;Теперь отправляйся  {page:beth};;;;
1;common;ulysses;hector_stay;;heap: +R;$heap->add('R');;Снял Гектор шлем с головы и положил его на землю, потом, взяв на руки сына, стал целовать его и качать и взмолился Зевсу и прочим бессмертным:<br>— Зевс и вы все, бессмертные боги! Да будет мой сын, подобно мне, знаменит в троянском народе, да будет он, как и я, крепок силою и да царствует мощно над Илионом! Когда будет он, на радость матери, возвращаться из битв, отягощенный богатой добычей, пусть скажут о нем: он превосходит и отца своего!<br>Сказав это, он передал сына на руки супруге{semi} улыбаясь сквозь слезы, Андромаха прижала младенца к своей груди. Смущенный и умиленный, Гектор обнял жену и, лаская ее, говорил ей:<br>— Возлюбленная жена моя, видят боги, ты есть моё ценнейшее сокровище, и я буду предателем своего сердца, если оставлю сейчас тебя одну лить обо мне слёзы...<br>Гектор остался в Трое и не пошёл на битву с данайцами, но город не выдержал на десятом году осады. Пала Троя, утопла в крови своих защитников, жен их и матерей. Но никто из потомков не воспевал имени Гектора, как великого героя — знали его лишь как сына отца своего Приама, Троянского владыки.;;Теперь отправляйся  {page:beth};;;;
1;common;ulysses;beth;;heap: take all R;$heap->pass($sack, 'R');;Нет, с такой раной уже не повоюешь! Я буду обузой, а не поддержкой своим людям... Я ушел в отставку и наблюдал уже издалека за ходом войны. И за нашей победой. На вручение наград и медалей я шел под руку со своей молодой женой Элизабет. Америка не забыла своих сыновей, чья кровь была пролита за ее свободу. Какое же это счастье — сидеть в гостиной своего дома перед камином и рассказывать своим сыновьям о делах давно минувших дней войны...;;{hypno_end};;;;
1;common;ulysses;midway;;;;;{quot}Главные силы{quot}, — протрещал в рацию пилот-разведчик {quot}Каталины{quot}, младший лейтенант Джек Ред.{1mm}— 221-ая эскадрилья уничтожена... — сообщения сыпались одно за другим. Битва затянулась, мы теряли машину за машиной. Отчаянные попытки майора Паркса и капитана Армстрейда отразить налеты на остров стоили жизни почти всем их парням... Мы взлетаем и ложимся на курс.{1mm}— Хендерсон сбит, принимаю командование… — я узнаю голос капитана Глайдена и скрещиваю пальцы, желая ему удачи… — Потеряли все машины. Попаданий не добились. Прощайте, парни!{1mm}— Атакуем {quot}Харуна{quot}, — это голос Бенджамина Норриса… — Попаданий нет. Отходим! Кто-нибудь, стряхните его с моего хвоста!..{1mm}— Если останется лишь один самолёт для последнего захода, то я хочу, чтобы этот пилот прорвался и попал. Пусть Бог будет с нами. Удачи, счастливого приземления и покажите им! — кажется, это командир восьмой эскадрильи! Боже, да они же там все новички-резервисты! У мальчишек нет никаких шансов...{1mm}— Капитан Линдси сбит… Нули у меня на хвосте!..{1mm}— Капитан Месси сбит… Уцелело две машины, пытаемся оторваться! — О боги, я уже потерял счет нашим атакам. Кажется это была шестая... Или восьмая за это утро? Ни одному из парней не удалось прорваться и причинить ущерб противнику. Кажется, это конец...{1mm}Мы выходим в заданную точку, но не находим здесь кораблей противника. Похоже, это наш шанс. Шанс выжить, повернуть назад, уцелеть. Но что это? На горизонте я замечаю черные точки. ;Что же делать? Вести парней в отчаянную атаку, уже не имеющую смысла? Или спасти жизни наших людей и возвращаться? ;{comm}В атаку!{ecomm}{say}— Мы знали, на что идем, ребята, и знаем, за что воюем! Молитесь всем, в кого верите — а теперь курс пятьдесят семь красное, и полный вперед!{said}Курс {page:midway_attack}{3mm}{comm}Спасать парней и отступать{ecomm}{say}— Все кончено, ребята! Чертов бог войны, которого не существует, отвернулся от нас. Ничего, наше время еще придет, а пока — курс сто тридцать зеленое, идем на базу!{said}Отступай {page:midway_retreat};;;;
